,Date,Course,Temperature,Weather
1998,8/21/98,Industrial Park,85.0,"humid, partly-sunny"
1999,8/20/99,Industrial Loop,65.0,"clear, slight breeze"
2000,8/18/00,Industrial Loop,60.0,overcast and misty
2001,8/17/01,Industrial Loop,60.0,overcast and windy
2002,8/16/02,Industrial Loop,75.0,"overcast, humid"
2003,8/15/03,Industrial Loop,80.0,"partly sunny, humid"
2004,8/20/04,Industrial Loop,65.0,overcast
2005,8/26/05,Campus Loop,85.0,overcast
2006,8/25/06,Campus Loop,80.0,sunny
2007,8/27/07,Olde High School Campus,75.0,"sunny, nice"
2008,8/22/08,MS Campus Loop,75.0,overcast
2009,8/21/09,MS Campus Loop,70.0,overcast
2010,8/20/10,Campus Loop,85.0,"sunny, breezy"
2011,8/19/11,Campus Loop,79.0,humid
2012,8/17/12,Campus Loop,65.0,sunny
2013,8/23/13,Campus Loop,75.0,sunny
2014,8/22/14,Campus Loop,,hot and humid
2015,8/21/15,Campus Loop,74.0,
2016,8/19/16,Campus Loop,80.0,cloudy
2017,8/18/17,Saline HS Campus Loop,74.0,"overcast, windy"
2018,8/20/18,Saline HS Campus Loop,80.0,"overcast, humid"
2019,8/16/19,MS Loop,75.0,sunny
